Variant,VariableA,VariableB,,The system is capable of interpreting situations correctly.,The system state was always clear to me.,I already know similar systems.,The developers are trustworthy.,One should be careful with unfamiliar automated systems.,The system works reliably.,The system reacts unpredictably.,The developers take my well-being seriously.,I trust the system.,A system malfunction is likely.,I was able to understand why things happened.,I rather trust a system than mistrust it.,The system is capable of taking over complicated tasks.,I can rely on the system.,The system might make sporadic (unpredictable) errors.,It is difficult to identify what the system will do next.,I have already used similar systems.,AI Voice Assistant systems generally work well.,I am confident about the system's capabilities.,,Reliability,Understanding,Familiarity,Intentions,Propensity,Trust
2,A2,B1,,2,3,5,1,-5,4,-2,1,1,-1,4,1,2,1,-5,-4,5,2,2,,4,1,10,2,-2,2
2,A2,B1,,5,3,2,1,-5,4,-2,3,2,-4,2,2,4,4,-3,-3,1,3,5,,11,0,3,4,0,6
3,A1,B2,,2,2,4,2,-4,2,-4,2,2,-3,3,2,2,2,-5,-4,4,3,2,,0,-3,8,4,1,4
3,A1,B2,,4,4,5,3,-4,4,-2,3,3,-2,4,4,2,4,-4,-2,5,4,4,,8,4,10,6,4,7
4,A2,B2,,2,3,4,3,-5,3,-3,3,2,-4,4,3,3,3,-3,-4,4,3,4,,5,0,8,6,1,5
3,A1,B2,,4,4,2,3,-4,4,-2,3,4,-3,4,4,3,4,-3,-4,3,4,4,,9,2,5,6,4,8
2,A2,B1,,4,3,4,3,-5,3,-3,3,4,-4,4,3,3,4,-4,-3,4,4,4,,6,1,8,6,2,8
1,A1,B1,,3,4,4,3,-3,4,-2,3,4,-4,5,4,4,4,-4,-3,4,5,4,,7,4,8,6,6,8
1,A1,B1,,4,4,4,5,-5,4,-1,5,4,-2,5,4,5,4,-4,-2,5,4,4,,11,6,9,10,3,8
4,A2,B2,,4,3,4,3,-5,4,-3,3,3,-3,4,4,4,3,-5,-4,4,4,4,,8,0,8,6,3,6
1,A1,B1,,4,4,3,3,-2,5,-2,3,5,-3,5,2,2,4,-2,-2,4,4,5,,11,5,7,6,4,9
1,A1,B1,,5,4,5,3,-4,4,-2,3,3,-5,4,3,2,3,-4,-2,#N/A,5,4,,6,4,#N/A,6,4,6
2,A2,B1,,4,5,3,4,-3,4,-1,3,5,-3,5,4,5,4,-2,-2,4,4,5,,13,7,7,7,5,9
4,A2,B2,,5,5,5,4,-4,5,-2,4,4,-2,3,5,4,4,-3,-2,5,5,5,,14,4,10,8,6,8
1,A1,B1,,4,4,2,4,-3,4,-2,3,2,-3,4,2,3,4,-3,-2,2,3,3,,8,4,4,7,2,6
4,A2,B2,,4,5,5,4,-5,5,-2,4,5,-2,5,4,3,4,-4,-2,5,5,5,,11,6,10,8,4,9
4,A2,B2,,4,4,4,4,#N/A,4,-2,3,4,-5,5,3,3,4,-4,-5,4,4,3,,5,2,8,7,#N/A,8
1,A1,B1,,3,4,5,3,-4,3,-3,3,3,-4,4,4,4,2,-3,-2,5,4,4,,7,3,10,6,4,5
2,A2,B1,,5,5,4,4,-4,3,-2,4,4,-3,5,4,2,4,-2,-2,4,4,4,,9,6,8,8,4,8
2,A2,B1,,5,5,5,3,-5,5,-2,5,4,-2,5,4,5,4,-3,-2,5,5,5,,15,6,10,8,4,8
3,A1,B2,,4,4,3,3,-5,4,-3,4,3,-4,4,3,4,4,-4,-3,3,4,3,,7,2,6,7,2,7
4,A2,B2,,4,3,3,4,-5,4,-3,4,2,-3,4,4,3,2,-4,-4,3,2,3,,7,0,6,8,1,4
1,A1,B1,,4,5,4,4,-3,4,-2,3,4,-3,5,5,4,4,-3,-3,4,4,4,,10,5,8,7,6,8
4,A2,B2,,2,5,5,4,-3,4,-2,2,2,-3,5,2,1,4,-3,-2,#N/A,4,4,,5,6,#N/A,6,3,6
4,A2,B2,,4,4,4,4,-5,3,-2,2,3,-5,4,4,4,3,-5,-4,4,4,4,,5,2,8,6,3,6
1,A1,B1,,4,4,4,4,-4,4,-3,2,4,-4,5,5,2,4,-4,-2,4,4,4,,6,4,8,6,5,8
1,A1,B1,,4,4,5,3,-3,4,-2,3,4,-3,4,3,4,4,-3,-2,5,2,4,,10,4,10,6,2,8
2,A2,B1,,4,5,5,5,-2,5,-2,5,5,-2,4,5,5,5,-2,-2,5,5,5,,15,5,10,10,8,10
2,A2,B1,,4,4,5,4,-4,4,-4,4,4,-2,5,4,2,4,-4,-4,4,4,4,,8,1,9,8,4,8
4,A2,B2,,3,4,5,3,-5,3,-3,3,2,-4,4,2,3,3,-4,-3,5,4,3,,4,2,10,6,1,5
3,A1,B2,,4,#N/A,#N/A,3,-3,5,-2,3,4,-3,5,3,4,4,-4,-3,#N/A,3,4,,10,#N/A,#N/A,6,3,8
1,A1,B1,,4,4,4,4,-3,4,-2,3,4,-2,4,4,4,4,-2,-2,5,4,4,,12,4,9,7,5,8
3,A1,B2,,5,4,4,3,-4,5,-2,3,4,-2,3,5,3,5,-3,-3,5,5,5,,13,2,9,6,6,9
4,A2,B2,,2,3,3,3,-4,1,-5,2,1,-4,3,3,1,1,-5,-4,1,2,1,,-4,-3,4,5,1,2
2,A2,B1,,5,5,1,3,#N/A,5,-1,#N/A,4,-3,5,3,#N/A,4,-3,-3,1,4,#N/A,,#N/A,6,2,#N/A,#N/A,8
4,A2,B2,,2,5,4,4,-3,4,-4,2,3,-3,3,3,2,4,-4,-2,5,4,4,,5,2,9,6,4,7
1,A1,B1,,2,5,2,3,-5,4,-2,1,4,-3,4,4,2,4,-3,-4,1,4,4,,6,3,3,4,3,8
2,A2,B1,,4,3,4,4,-3,4,-2,4,4,-2,5,3,3,4,-3,-3,4,4,4,,10,3,8,8,4,8
1,A1,B1,,5,5,5,4,-4,5,-1,3,5,-3,5,4,2,4,-3,-2,1,4,5,,11,7,6,7,4,9
2,A2,B1,,3,3,3,3,-5,3,-2,2,2,-4,4,2,4,3,-4,-4,3,3,3,,5,1,6,5,0,5
2,A2,B1,,5,5,5,5,-3,5,-2,3,5,-2,5,5,2,5,-2,-2,5,5,5,,13,6,10,8,7,10
3,A1,B2,,3,3,3,3,-3,3,-3,3,3,-3,3,3,3,3,-3,-3,4,3,4,,7,0,7,6,3,6
1,A1,B1,,4,3,4,3,-4,4,-2,3,3,-4,4,4,3,3,-4,-3,5,4,4,,7,2,9,6,4,6
1,A1,B1,,5,3,2,3,-5,5,-1,3,5,-2,5,5,5,5,-2,-2,2,5,5,,16,5,4,6,5,10
4,A2,B2,,3,3,5,3,-5,5,-4,2,1,-5,3,3,1,1,-5,-5,5,2,1,,0,-3,10,5,0,2
4,A2,B2,,3,3,1,#N/A,-5,2,-3,3,2,-4,4,4,3,2,-5,-5,1,3,4,,3,-1,2,#N/A,2,4
4,A2,B2,,2,3,3,1,-5,2,-4,1,1,-5,2,1,3,2,-5,-5,4,4,1,,-2,-4,7,2,0,3
1,A1,B1,,4,4,4,3,-3,4,-2,3,3,-3,4,3,3,4,-3,-3,4,4,4,,9,3,8,6,4,7
2,A2,B1,,4,4,3,4,-4,5,-2,4,4,-4,5,3,3,5,-3,-3,3,3,3,,8,4,6,8,2,9
3,A1,B2,,4,4,3,3,-5,4,-2,3,4,-2,4,4,4,4,-2,-3,4,4,4,,12,3,7,6,3,8
3,A1,B2,,5,4,5,4,-2,5,-2,4,5,-3,3,5,5,5,-2,-2,5,5,5,,15,3,10,8,8,10
1,A1,B1,,4,3,5,3,-4,4,-1,3,4,-2,5,4,3,5,-4,-2,5,5,5,,10,5,10,6,5,9
1,A1,B1,,4,4,4,4,-5,4,-3,4,5,-3,5,3,1,4,-5,-2,4,4,4,,5,4,8,8,2,9
2,A2,B1,,4,3,4,2,-5,3,-2,2,2,-3,4,1,3,2,-4,-3,3,3,4,,7,2,7,4,-1,4
1,A1,B1,,5,5,5,3,-4,4,-1,2,4,-4,4,5,2,2,-4,-5,5,5,5,,8,3,10,5,6,6
4,A2,B2,,4,5,5,3,-4,4,-2,3,3,-3,5,4,2,3,-4,-2,5,4,3,,6,6,10,6,4,6
3,A1,B2,,4,3,4,4,-3,4,-2,4,4,-3,4,5,2,4,-3,-2,4,4,4,,8,3,8,8,6,8
3,A1,B2,,5,2,5,5,-4,5,-2,3,5,-2,5,4,2,5,-2,-2,5,5,5,,13,3,10,8,5,10
2,A2,B1,,4,4,2,3,-4,3,-3,4,4,-5,4,5,4,3,-5,-4,2,4,3,,4,1,4,7,5,7
4,A2,B2,,4,5,4,2,-4,4,-2,2,2,-5,4,1,2,4,-5,-4,4,4,4,,4,3,8,4,1,6
3,A1,B2,,3,5,5,3,-2,5,-2,3,4,-2,4,5,3,4,-3,-2,4,5,5,,11,5,9,6,8,8
4,A2,B2,,4,4,2,3,-3,4,-3,2,4,-2,4,2,3,3,-3,-3,2,4,4,,10,2,4,5,3,7
1,A1,B1,,5,5,5,4,-4,5,-2,4,4,-3,5,4,3,4,-3,-1,5,5,4,,11,7,10,8,5,8
4,A2,B2,,3,3,3,3,-3,3,-2,2,3,-4,4,3,3,3,-3,-3,1,4,3,,5,2,4,5,4,6
3,A1,B2,,3,5,4,5,-4,4,-5,5,3,-4,2,4,2,2,-5,-3,5,5,3,,3,-1,9,10,5,5
2,A2,B1,,3,4,4,2,-5,4,-2,2,2,-5,4,2,4,2,-5,-2,1,2,5,,6,4,5,4,-1,4
2,A2,B1,,4,4,5,2,-5,4,-2,1,1,-3,5,4,3,4,-4,-3,5,3,5,,9,4,10,3,2,5
1,A1,B1,,3,4,4,4,-3,4,-2,3,4,-3,4,4,2,4,-4,-2,4,4,4,,6,4,8,7,5,8
2,A2,B1,,4,2,5,3,-5,3,-2,3,3,-3,4,2,4,2,-5,-4,5,2,3,,6,0,10,6,-1,5
4,A2,B2,,2,3,3,2,-4,2,-4,2,2,-4,3,3,2,2,-4,-4,3,3,2,,0,-2,6,4,2,4
4,A2,B2,,4,4,4,3,-4,4,-5,3,4,-3,4,4,3,4,-3,-2,3,4,4,,9,1,7,6,4,8
4,A2,B2,,5,3,5,4,-5,5,-3,3,4,-5,5,2,4,4,#N/A,-5,5,5,5,,#N/A,0,10,7,2,8
1,A1,B1,,3,3,4,4,-4,4,-2,4,3,-3,5,4,2,4,-3,-3,4,5,3,,6,3,8,8,5,7
2,A2,B1,,4,4,4,4,-4,4,-3,4,4,-4,4,4,3,4,-4,-4,3,4,4,,7,1,7,8,4,8
3,A1,B2,,5,5,3,4,-1,4,-1,3,4,-1,5,4,4,5,-1,-3,3,5,5,,16,6,6,7,8,9
3,A1,B2,,2,2,3,3,-4,2,-4,3,2,-4,2,2,2,2,-4,-4,3,3,2,,0,-4,6,6,1,4
3,A1,B2,,3,3,3,3,-3,3,-3,3,4,-3,3,3,3,3,-3,-3,3,4,4,,7,0,6,6,4,7
2,A2,B1,,4,5,5,4,-4,4,-2,3,4,-2,4,4,4,4,-3,-1,3,4,4,,11,6,8,7,4,8
1,A1,B1,,4,3,2,3,-3,4,-2,3,3,-2,4,2,3,4,-3,-3,2,3,3,,9,2,4,6,2,7
4,A2,B2,,3,3,5,3,-3,5,-2,2,3,-3,5,2,3,3,-4,-3,5,4,4,,8,3,10,5,3,6
2,A2,B1,,4,5,5,3,-5,4,-4,4,3,-4,4,5,4,4,-5,-5,4,4,4,,7,0,9,7,4,7
3,A1,B2,,2,2,4,3,-5,4,-3,2,2,-3,2,2,3,2,-4,-3,5,2,2,,4,-2,9,5,-1,4
1,A1,B1,,3,3,4,3,-4,4,-3,2,2,-3,4,2,2,4,-2,-2,4,5,4,,8,2,8,5,3,6
1,A1,B1,,5,5,5,4,-5,5,-2,3,4,-2,5,5,4,4,-2,-2,4,4,5,,15,6,9,7,4,8
4,A2,B2,,4,3,3,3,-4,2,-2,3,2,-2,5,1,1,2,-4,-3,1,3,2,,3,3,4,6,0,4
4,A2,B2,,4,5,5,3,-4,5,-3,5,5,-5,5,4,1,4,-5,-3,5,4,3,,3,4,10,8,4,9
3,A1,B2,,4,4,4,3,-2,4,-2,3,4,-2,4,4,5,4,-2,-2,3,5,4,,13,4,7,6,7,8
2,A2,B1,,5,5,2,3,-3,5,-1,3,5,-3,5,3,2,4,-2,-2,2,5,5,,12,7,4,6,5,9
2,A2,B1,,4,5,3,3,-5,4,-2,3,4,-3,5,4,5,5,-4,-4,5,4,5,,11,4,8,6,3,9
3,A1,B2,,4,5,4,3,-4,3,-2,3,3,-3,4,3,2,4,-4,-2,4,4,4,,6,5,8,6,3,7
2,A2,B1,,5,4,3,4,-4,4,-2,4,4,-3,5,3,4,4,-3,-2,3,4,5,,12,5,6,8,3,8
1,A1,B1,,3,4,3,4,-4,4,-2,2,5,-3,5,4,4,4,-2,-2,5,5,4,,10,5,8,6,5,9
2,A2,B1,,3,4,3,4,-4,2,-2,4,3,-2,4,3,3,4,-4,-3,4,3,4,,6,3,7,8,2,7
4,A2,B2,,3,4,4,3,-4,5,-2,3,4,-3,4,4,3,4,-2,-3,5,4,4,,10,3,9,6,4,8
3,A1,B2,,4,4,2,1,-4,3,-2,2,3,-2,4,2,3,3,-4,-2,2,3,4,,8,4,4,3,1,6
1,A1,B1,,4,5,4,3,-5,4,-2,2,2,-4,5,4,4,4,-5,-2,5,4,5,,8,6,9,5,3,6
3,A1,B2,,4,4,3,3,-4,5,-1,3,4,-3,5,3,1,3,-4,-1,3,5,4,,7,7,6,6,4,7
1,A1,B1,,4,5,5,4,-4,5,-1,4,5,-4,5,1,5,#N/A,-3,-4,3,5,5,,12,5,8,8,2,#N/A
2,A2,B1,,4,4,4,4,-4,4,-1,4,4,-2,5,4,3,4,-2,-2,4,4,4,,11,6,8,8,4,8
4,A2,B2,,2,3,3,1,-5,2,-4,1,1,-4,2,1,4,1,-4,-5,4,2,3,,3,-4,7,2,-2,2
3,A1,B2,,3,5,2,4,-3,4,-2,3,4,-3,4,4,3,2,-4,-2,2,4,3,,6,5,4,7,5,6
2,A2,B1,,4,5,5,4,-4,4,-1,3,4,-2,3,4,2,4,-3,-2,5,4,4,,9,5,10,7,4,8
4,A2,B2,,4,4,5,4,-3,4,-2,3,4,-2,5,4,4,4,-3,-2,5,4,4,,11,5,10,7,5,8
4,A2,B2,,#N/A,5,5,5,-5,5,-3,5,4,-3,5,4,#N/A,5,#N/A,-2,5,5,5,,#N/A,5,10,10,4,9
2,A2,B1,,3,4,2,2,-5,4,-3,2,3,-4,4,4,4,4,-3,-4,2,3,3,,7,1,4,4,2,7
1,A1,B1,,4,4,5,4,-3,4,-1,4,3,-5,5,4,4,5,-2,-2,4,5,5,,10,6,9,8,6,8
3,A1,B2,,3,5,5,3,-3,4,-2,2,3,-3,4,3,2,4,-3,-3,4,4,4,,7,4,9,5,4,7
4,A2,B2,,4,5,4,4,-5,2,-2,3,3,-4,5,3,2,2,-5,-2,4,4,2,,1,6,8,7,2,5
2,A2,B1,,2,3,5,3,-4,5,-2,2,3,-3,5,4,2,4,-3,-2,5,4,3,,6,4,10,5,4,7
3,A1,B2,,4,3,4,3,-4,4,-2,3,3,-3,4,2,2,4,-4,-1,4,3,4,,7,4,8,6,1,7
