Duration (in seconds),Response ID,Please enter your Prolific ID.,,Variant,VarA,VarB,,The system is capable of interpreting situations correctly.,The system state was always clear to me.,I already know similar systems.,The developers are trustworthy.,One should be careful with unfamiliar automated systems.,The system works reliably.,The system reacts unpredictably.,The developers take my well-being seriously.,I trust the system.,A system malfunction is likely.,I was able to understand why things happened.,I rather trust a system than mistrust it.,The system is capable of taking over complicated tasks.,I can rely on the system.,The system might make sporadic (unpredictable) errors.,It is difficult to identify what the system will do next.,I have already used similar systems.,AI Voice Assistant systems generally work well.,I am confident about the system's capabilities.,,Reliability,Understanding,Familiarity,Intentions,Propensity,Trust,,Age,Gender,Education,zooFamiliarity,animalFamiliarity,owner,user,frequency
379,R_1NnckUzQ7PlZylf,5eb87ce9ea17ff7bd690817b,,2,A2,B1,,2,3,5,1,-5,4,-2,1,1,-1,4,1,2,1,-5,-4,5,2,2,,4,1,10,2,-2,2,,21,Male,College or University.,Never heard before,Somewhat familiar,"Yes, one.",Yes,Occasionally
121,R_1jeNtET4lIBE2tY,61266b1e4236cee5eb5e3d67,,2,A2,B1,,5,3,2,1,-5,4,-2,3,2,-4,2,2,4,4,-3,-3,1,3,5,,11,0,3,4,0,6,,22,Female,College or University.,Somewhat familiar,Somewhat familiar,No,Yes,Occasionally
348,R_2QEeAazfo216sxO,5d55508552d767001a905f9e,,3,A1,B2,,2,2,4,2,-4,2,-4,2,2,-3,3,2,2,2,-5,-4,4,3,2,,0,-3,8,4,1,4,,36,Female,College or University.,Not familiar,Somewhat familiar,No,Yes,Occasionally
529,R_3fvGn4OWiODMBO1,5f2eab892858dd237002f352,,3,A1,B2,,4,4,5,3,-4,4,-2,3,3,-2,4,4,2,4,-4,-2,5,4,4,,8,4,10,6,4,7,,39,Female,College or University.,Not familiar,Very familiar,"Yes, one.",Yes,Weekly
231,R_8qfCYIwV7EhMMwN,616f27ce8bb1f7eab623e084,,4,A2,B2,,2,3,4,3,-5,3,-3,3,2,-4,4,3,3,3,-3,-4,4,3,4,,5,0,8,6,1,5,,31,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Somewhat familiar,Somewhat familiar,No,No,
222,R_8tXlBA8nNULemg9,6447a638c08e426097ef72b2,,3,A1,B2,,4,4,2,3,-4,4,-2,3,4,-3,4,4,3,4,-3,-4,3,4,4,,9,2,5,6,4,8,,36,Female,College or University.,Never heard before,Somewhat familiar,"Yes, one.",Yes,Weekly
246,R_1MWGzV6V7fqj1z3,5f1c4e023edc814bd8ef5a4b,,2,A2,B1,,4,3,4,3,-5,3,-3,3,4,-4,4,3,3,4,-4,-3,4,4,4,,6,1,8,6,2,8,,49,Male,"High School or Secondary School (A-Levels, BTEC, etc.)",Somewhat familiar,Somewhat familiar,No,No,
336,R_YVR1BkyvYxv5wEF,58c1d8a98ec85c0001e3e8a6,,1,A1,B1,,3,4,4,3,-3,4,-2,3,4,-4,5,4,4,4,-4,-3,4,5,4,,7,4,8,6,6,8,,45,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Somewhat familiar,Somewhat familiar,"Yes, one.",Yes,Weekly
205,R_1mmcApOvRWeHZnp,5ea95dff588bb604aa41b54c,,1,A1,B1,,4,4,4,5,-5,4,-1,5,4,-2,5,4,5,4,-4,-2,5,4,4,,11,6,9,10,3,8,,21,Male,College or University.,Somewhat familiar,Very familiar,"Yes, one.",Yes,Occasionally
203,R_SHuSsnHHUOgtZpD,6079823b017e11e76ab937ca,,4,A2,B2,,4,3,4,3,-5,4,-3,3,3,-3,4,4,4,3,-5,-4,4,4,4,,8,0,8,6,3,6,,24,Female,College or University.,Somewhat familiar,Very familiar,No,Yes,Occasionally
233,R_24dBLDytPovXUaZ,5f13fa31696881329aea2f14,,1,A1,B1,,4,4,3,3,-2,5,-2,3,5,-3,5,2,2,4,-2,-2,4,4,5,,11,5,7,6,4,9,,36,Female,"High School or Secondary School (A-Levels, BTEC, etc.)",Not familiar,Very familiar,"Yes, one.",Yes,Daily
212,R_SVtVz1Tsw4NyKdz,5d250700f54f9f001c18778d,,1,A1,B1,,5,4,5,3,-4,4,-2,3,3,-5,4,3,2,3,-4,-2,#N/A,5,4,,6,4,#N/A,6,4,6,,41,Female,College or University.,Somewhat familiar,Somewhat familiar,"Yes, multiple.",Yes,Weekly
